0,GRT-GBP,DAI-USD,BAL-BTC,AAVE-USD,SNX-EUR,LTC-USD,XTZ-EUR,XTZ-USD,BAT-USDC,XRP-EUR,ETC-EUR,KNC-BTC,MKR-USD,COMP-USD,UMA-EUR,AAVE-BTC,REP-BTC,CGLD-EUR,NMR-GBP,SNX-BTC,OXT-USD,CGLD-USD,XTZ-GBP,SNX-GBP,BAND-USD,LINK-EUR,KNC-USD,BTC-USDC,LINK-BTC,LINK-USD,BNT-GBP,XLM-USD,NU-BTC,NU-EUR,UMA-BTC,YFI-BTC,ZEC-BTC,GRT-USD,XRP-USD,FIL-BTC,NU-USD,ATOM-BTC,BAND-EUR,BCH-BTC,AAVE-EUR,AAVE-GBP,ALGO-BTC,ALGO-EUR,ALGO-GBP,ALGO-USD,ATOM-USD,BAL-USD,BAND-BTC,BAND-GBP,BCH-EUR,BCH-GBP,BCH-USD,BNT-BTC,BNT-EUR,BNT-USD,BTC-EUR,BTC-GBP,BTC-USD,CGLD-BTC,CGLD-GBP,COMP-BTC,CVC-USDC,DAI-USDC,DASH-BTC,DASH-USD,DNT-USDC,EOS-BTC,EOS-EUR,EOS-USD,ETC-BTC,ETC-GBP,ETH-USDC,ZEC-USDC,ETH-EUR,LTC-EUR,LTC-GBP,ETH-GBP,ETH-USD
2020-12-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-12-18,2.100323624595469,2.100323624595469,2.100323624595469,1.0683894146100923,2.100323624595469,1.0819412869427696,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,1.0143184280939974,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.132844335778321,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,1.0115506329113924,1.01659678546471,1.0091052411441073,2.100323624595469,2.100323624595469,2.100323624595469,1.0153414378780827,2.100323624595469,1.0136367937588273,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,2.100323624595469,1.0178585305957506,0.9942235357334768,1.0205607834136639,1.0840621963070942,1.0862971413233122,1.0245880861850445,1.0175482226401604
2020-12-19,3.8349514563106792,3.8349514563106792,3.8349514563106792,1.0421842346255903,3.8349514563106792,1.1863200553523772,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,1.0447915534249552,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8997555012224936,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,1.0213212025316456,1.030267295597484,1.0240661497377819,3.8349514563106792,3.8349514563106792,3.8349514563106792,1.0446202368026472,3.8349514563106792,1.0448387136343407,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,3.8349514563106792,1.0232362952486052,0.9873723804406234,1.0248068242674622,1.184402332361516,1.1925915984431619,1.0328474862695396,1.0242317795358815
2020-12-20,5.995685005393742,5.995685005393742,5.995685005393742,1.0033578322023153,5.995685005393742,1.1332410793713552,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,1.0289174033953226,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,6.074164629176853,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,1.1274525316455695,1.1238207547169812,1.123644670377401,5.995685005393742,5.995685005393742,5.995685005393742,1.0337328516278026,5.995685005393742,1.0284770144148374,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,5.995685005393742,0.9921043224171964,0.987775389575497,0.9978196006426441,1.1364188532555881,1.1422627835189907,1.0071609632446135,0.9922750516809923
2020-12-21,3.7842502696871625,3.7842502696871625,3.7842502696871625,0.9488811139549628,3.7842502696871625,1.0323218345359295,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,0.9966983100537599,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.84841075794621,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,1.0145569620253165,1.020964360587002,1.0090087191531805,3.7842502696871625,3.7842502696871625,3.7842502696871625,1.0009408984368269,3.7842502696871625,0.995747044660412,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,3.7842502696871625,0.945911500023314,0.9149650725416443,0.9508453829087291,1.0369290573372207,1.0473761911152866,0.9551753274186735,0.9451326608328023
2020-12-22,4.402373247033442,4.402373247033442,4.402373247033442,0.9904078709465333,4.402373247033442,1.129880399327864,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,1.0440191718947807,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.450692746536268,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,1.0488924050632913,1.0563853948287911,1.0395740162800424,4.402373247033442,4.402373247033442,4.402373247033442,1.0529660651810488,4.402373247033442,1.043668143314256,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,4.402373247033442,0.9906122258661155,0.9094572810317034,1.0007650524060898,1.1411564625850341,1.1495101328680715,1.0061047739754965,0.9898192331007042
2020-12-23,3.2481121898597625,3.2481121898597625,3.2481121898597625,0.8876887313029799,3.2481121898597625,1.011663536621528,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,1.0184297597463854,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.350448247758761,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,0.894145569620253,0.9171034241788958,0.8863614426820244,3.2481121898597625,3.2481121898597625,3.2481121898597625,1.0270711614359822,3.2481121898597625,1.0176054301845925,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,3.2481121898597625,0.9100545547801488,0.7447608812466416,0.9192295922270676,1.0202866861030127,1.0214736277009797,0.9173848753696663,0.9094455756407666
2020-12-24,3.274002157497303,3.274002157497303,3.274002157497303,0.9466856082842182,3.274002157497303,1.0991400612829891,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,1.0402480037312778,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.3422982885085575,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,0.9685522151898733,0.9576781970649896,0.9554390141887326,3.274002157497303,3.274002157497303,3.274002157497303,1.0481210037398963,3.274002157497303,1.0390546418019773,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,3.274002157497303,0.9519420569172664,0.8349005910800645,0.9615178639736822,1.1093294460641399,1.1028049926184404,0.9554921841994085,0.9516607861728088
2020-12-25,2.856526429341963,2.856526429341963,2.856526429341963,0.9365651489891282,2.856526429341963,1.2619353563309281,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,1.083144110086724,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.927465362673187,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,1.0386471518987341,1.0251572327044025,1.0262861555291014,2.856526429341963,2.856526429341963,2.856526429341963,1.0893778113851402,2.856526429341963,1.0822829450708125,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,2.856526429341963,0.9733909448390556,0.8644545943041375,0.9817535001147577,1.2705296404275999,1.2607703663937726,0.9760033798056613,0.9741672754402598
2020-12-26,3.868392664509169,3.868392664509169,3.868392664509169,0.8809378448822411,3.868392664509169,1.2806167836315112,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,1.1604147013750319,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.9568052159739198,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,1.045767405063291,1.0353773584905661,1.0408288021620926,3.868392664509169,3.868392664509169,3.868392664509169,1.1674029048825465,3.868392664509169,1.1598525046349677,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,3.868392664509169,0.990550055176487,0.8949489521762494,0.9969206640654885,1.2874149659863947,1.2804992618440476,0.9906844106463879,0.9893529384335608
2020-12-27,3.171521035598705,3.171521035598705,3.171521035598705,0.902352830676028,3.171521035598705,1.2612434516160917,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,1.15018261869777,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.227383863080685,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,1.0889636075949367,1.0886180992313068,1.0863550078826292,3.171521035598705,3.171521035598705,3.171521035598705,1.1529043439670474,3.171521035598705,1.150359144292068,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,3.171521035598705,1.0630721646279861,0.8992477162815691,1.066310917297835,1.2645772594752187,1.261172996913166,1.0667300380228137,1.0633383589536347
2020-12-28,3.0560949298813376,3.0560949298813376,3.0560949298813376,0.9603634912062368,3.0560949298813376,1.2819017495304932,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,1.1852286635081726,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.100244498777506,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,1.167128164556962,1.1689378057302584,1.1579743251504135,3.0560949298813376,3.0560949298813376,3.0560949298813376,1.191764472709098,3.0560949298813376,1.184604897469956,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,3.0560949298813376,1.135236792614122,0.9289360558839335,1.1427205263560554,1.2883867832847427,1.2921755469064555,1.145289395859738,1.134184062048277
2020-12-29,2.983818770226537,2.983818770226537,2.983818770226537,0.9166647098879942,2.983818770226537,1.2720173964614017,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,1.1999315289472114,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,3.039934800325998,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,1.1375,1.1397624039133472,1.1339725234065827,2.983818770226537,2.983818770226537,2.983818770226537,1.2035566714923391,2.983818770226537,1.1988861182276023,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,2.983818770226537,1.1371951693374158,0.8804406233207954,1.1422806212225538,1.2759961127308068,1.2833176754798012,1.144909167722856,1.1373859520959946
2020-12-30,2.9697950377562026,2.9697950377562026,2.9697950377562026,0.953812196210111,2.9697950377562026,1.286053177819512,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,1.2676455426309017,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,3.0537897310513444,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,1.1542721518987342,1.1485849056603774,1.1545638814709953,2.9697950377562026,2.9697950377562026,2.9697950377562026,1.265494394464264,2.9697950377562026,1.2659604108912106,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,2.9697950377562026,1.1693374158752856,0.8589468027941967,1.170759697039247,1.283284742468416,1.2796940008052609,1.16588508660752,1.1701820103517415
2020-12-31,2.749730312837109,2.749730312837109,2.749730312837109,1.0398830629065208,2.749730312837109,1.2297123653256894,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,1.2693581956606361,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.863080684596577,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,1.1093354430379747,1.0955625436757512,1.1010585245004987,2.749730312837109,2.749730312837109,2.749730312837109,1.2773900005170362,2.749730312837109,1.2700197314697668,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,2.749730312837109,1.146660656833336,0.8582751209027405,1.1545979649605997,1.235787172011662,1.2227888873976647,1.1400718208703,1.1465719570387178
2021-01-01,2.8403451995685,2.8403451995685,2.8403451995685,1.0395895461056193,2.8403451995685,1.2458238608283088,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,1.2886497613595318,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.9103504482477582,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,1.1016613924050633,1.089578965758211,1.0948167690872237,2.8403451995685,2.8403451995685,2.8403451995685,1.2960652456784378,2.8403451995685,1.287310614689606,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,2.8403451995685,1.135190164596901,0.753895754970446,1.145340830846913,1.2546161321671527,1.2398335793853172,1.1307562315166877,1.135520773427421
