,0,GRT-GBP,DAI-USD,BAL-BTC,AAVE-USD,SNX-EUR,LTC-USD,XTZ-EUR,XTZ-USD,BAT-USDC,XRP-EUR,ETC-EUR,KNC-BTC,MKR-USD,COMP-USD,UMA-EUR,AAVE-BTC,REP-BTC,CGLD-EUR,NMR-GBP,SNX-BTC,OXT-USD,CGLD-USD,XTZ-GBP,SNX-GBP,BAND-USD,LINK-EUR,KNC-USD,BTC-USDC,LINK-BTC,LINK-USD,BNT-GBP,XLM-USD,NU-BTC,NU-EUR,UMA-BTC,YFI-BTC,ZEC-BTC,GRT-USD,XRP-USD,FIL-BTC,NU-USD,ATOM-BTC,BAND-EUR,BCH-BTC,AAVE-EUR,AAVE-GBP,ALGO-BTC,ALGO-EUR,ALGO-GBP,ALGO-USD,ATOM-USD,BAL-USD,BAND-BTC,BAND-GBP,BCH-EUR,BCH-GBP,BCH-USD,BNT-BTC,BNT-EUR,BNT-USD,BTC-EUR,BTC-GBP,BTC-USD,CGLD-BTC,CGLD-GBP,COMP-BTC,CVC-USDC,DAI-USDC,DASH-BTC,DASH-USD,DNT-USDC,EOS-BTC,EOS-EUR,EOS-USD,ETC-BTC,ETC-GBP,ETH-USDC,ZEC-USDC,ETH-EUR,LTC-EUR,LTC-GBP,ETH-GBP,ETH-USD
0,1609459200,0.2633,0.2633,0.2633,88.546,0.2633,126.04,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,29397.4,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.3571,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,278.5,249.47,340.28,0.2633,0.2633,0.2633,24064.51,0.2633,29384.77,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,0.2633,730.37,56.12,598.83,103.28,92.38,535.3,730.56
1,1609372800,0.2549,0.2549,0.2549,88.571,0.2549,124.41,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,28957.31,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.3513,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,280.44,250.84,342.22,0.2549,0.2549,0.2549,23717.76,0.2549,28990.08,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,0.2549,737.75,63.89,603.67,101.73,91.11,539.71,737.67
2,1609286400,0.2753,0.2753,0.2753,81.24,0.2753,130.11,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,28918.24,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.3747,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,291.8,262.98,358.85,0.2753,0.2753,0.2753,23496.89,0.2753,28897.42,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,0.2753,752.34,63.94,612.12,105.64,95.35,551.93,752.86
3,1609200000,0.2766,0.2766,0.2766,78.076,0.2766,128.69,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,27373.51,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.373,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,287.56,260.96,352.45,0.2766,0.2766,0.2766,22346.87,0.2766,27366.35,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,0.2766,731.66,65.54,597.23,105.04,95.62,542.0,731.76
4,1609113600,0.2833,0.2833,0.2833,81.798,0.2833,129.69,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,27038.1,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.3804,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,295.05,267.64,359.91,0.2833,0.2833,0.2833,22127.92,0.2833,27040.36,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,0.2833,730.4,69.15,597.46,106.06,96.28,542.18,729.7
5,1609027200,0.294,0.294,0.294,76.857,0.294,127.6,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,26238.61,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.396,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,275.29,249.25,337.65,0.294,0.294,0.294,21406.39,0.294,26258.65,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,683.97,66.94,557.51,104.1,93.97,504.99,684.12
6,1608940800,0.3586,0.3586,0.3586,75.033,0.3586,129.56,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,26472.03,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.4855,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,264.37,237.06,323.5,0.3586,0.3586,0.3586,21675.59,0.3586,26475.35,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,637.31,66.62,521.23,105.98,95.41,468.99,636.52
7,1608854400,0.2648,0.2648,0.2648,79.771,0.2648,127.67,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,24709.29,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.3592,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,262.57,234.72,318.98,0.2648,0.2648,0.2648,20226.87,0.2648,24704.71,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,0.2648,626.27,64.35,513.3,104.59,93.94,462.04,626.75
8,1608768000,0.3035,0.3035,0.3035,80.633,0.3035,111.2,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,23730.72,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.4101,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,244.85,219.27,296.96,0.3035,0.3035,0.3035,19460.84,0.3035,23717.96,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,0.3035,612.47,62.15,502.72,91.32,82.17,452.33,612.27
9,1608681600,0.3011,0.3011,0.3011,75.608,0.3011,102.35,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,23232.99,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.4111,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,226.04,209.98,275.49,0.3011,0.3011,0.3011,19070.0,0.3011,23228.35,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,0.3011,585.52,55.44,480.61,83.99,76.11,434.29,585.11
10,1608595200,0.4081,0.4081,0.4081,84.357,0.4081,114.31,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,23816.75,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.5461,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,265.16,241.87,323.11,0.4081,0.4081,0.4081,19550.8,0.4081,23823.27,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,0.4081,637.35,67.7,523.24,93.94,85.65,476.29,636.82
11,1608508800,0.3508,0.3508,0.3508,80.82,0.3508,104.44,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,22737.24,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.4722,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,256.48,233.76,313.61,0.3508,0.3508,0.3508,18584.83,0.3508,22729.4,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,0.3508,608.59,68.11,497.14,85.36,78.04,452.18,608.07
12,1608422400,0.5558,0.5558,0.5558,85.46,0.5558,114.65,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,23472.24,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.7453,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,285.02,257.31,349.24,0.5558,0.5558,0.5558,19193.69,0.5558,23476.51,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,0.5558,638.31,73.53,521.7,93.55,85.11,476.79,638.4
13,1608336000,0.3555,0.3555,0.3555,88.767,0.3555,120.02,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,23834.37,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.4785,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,258.19,235.89,318.29,0.3555,0.3555,0.3555,19395.84,0.3555,23849.99,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,658.34,73.5,535.81,97.5,88.86,488.95,658.96
14,1608249600,0.1947,0.1947,0.1947,90.999,0.1947,109.46,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,23139.2,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.2617,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,255.72,232.76,313.64,0.1947,0.1947,0.1947,18852.21,0.1947,23137.76,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,0.1947,654.88,74.01,533.59,89.24,80.94,485.04,654.66
15,1608163200,0.0927,0.0927,0.0927,85.174,0.0927,101.17,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,22812.56,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.1227,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,252.8,228.96,310.81,0.0927,0.0927,0.0927,18567.36,0.0927,22826.48,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927,643.39,74.44,522.84,82.32,74.51,473.4,643.37
